playerId;playerName;country;height;weight;season_exp;jersey;position
1628978;Donte DiVincenzo;USA;06-abr;203;4;0;Guard
1627827;Dorian Finney-Smith;USA;06-jul;220;6;28;Forward
203926;Doug McDermott;USA;06-jun;225;8;17;Forward
203110;Draymond Green;USA;06-jun;230;10;23;Forward
1629234;Drew Eubanks;USA;06-oct;245;4;24;Forward-Center
1630696;Dru Smith;USA;06-mar;203;0;9;Guard
1630613;Duane Washington Jr.;Germany;06-feb;197;1;4;Guard
1629130;Duncan Robinson;USA;06-jul;215;4;55;Forward
203939;Dwight Powell;Canada;06-oct;240;8;7;Forward-Center
1629685;Dylan Windler;USA;06-jul;196;2;9;Guard-Forward
1630700;Dyson Daniels;Australia;06-jul;199;0;11;Guard
1628410;Edmond Sumner;USA;06-abr;196;4;4;Guard
201569;Eric Gordon;USA;06-mar;215;14;10;Guard
1630647;Eugene Omoruyi;Nigeria;06-jun;235;1;97;Forward
203095;Evan Fournier;France;06-jun;205;10;13;Guard-Forward
1630596;Evan Mobley;USA;06-nov;215;1;4;Center
1630267;Facundo Campazzo;Argentina;05-oct;195;2;;Guard
1628402;Frank Jackson;USA;06-mar;205;4;;Guard
1626163;Frank Kaminsky;USA;7-0;240;7;33;Forward-Center
1628373;Frank Ntilikina;France;06-abr;200;5;21;Guard
1630532;Franz Wagner;Germany;06-oct;220;1;22;Forward
1627832;Fred VanVleet;USA;6-0;197;6;23;Guard
1627788;Furkan Korkmaz;Turkey;06-jul;202;5;30;Guard-Forward
1629216;Gabe Vincent;USA;06-feb;200;3;2;Guard
1628221;Gabe York;USA;06-mar;190;1;32;Guard
202066;Garrett Temple;USA;06-jun;195;12;41;Guard-Forward
1629726;Garrison Mathews;USA;06-jun;215;3;25;Guard
203914;Gary Harris;USA;06-abr;210;8;14;Guard
1627780;Gary Payton II;USA;06-feb;195;6;8;Guard
1629018;Gary Trent Jr.;USA;06-may;209;4;33;Guard-Forward
201588;George Hill;USA;06-abr;188;14;7;Guard
1627777;Georges Niang;USA;06-jul;230;6;20;Forward
203507;Giannis Antetokounmpo;Greece;7-0;243;9;34;Forward
1629048;Goga Bitadze;Georgia;06-nov;250;3;88;Center-Forward
201609;Goran Dragic;Slovenia;06-abr;190;14;31;Guard
202330;Gordon Hayward;USA;06-jul;225;12;20;Forward
203476;Gorgui Dieng;Senegal;06-oct;248;9;41;Center
1629684;Grant Williams;USA;06-jun;236;3;12;Forward
1628960;Grayson Allen;USA;06-abr;198;4;12;Guard
1630535;Greg Brown III;USA;06-jul;206;1;;Forward
1628977;Hamidou Diallo;USA;06-may;202;4;6;Guard
203084;Harrison Barnes;USA;06-ago;225;10;40;Forward
1629312;Haywood Highsmith;USA;06-may;220;2;24;Forward
1630529;Herbert Jones;USA;06-jul;206;1;5;Forward
1630193;Immanuel Quickley;USA;06-feb;190;2;5;Guard
1630171;Isaac Okoro;USA;06-may;225;2;35;Forward-Guard
1628392;Isaiah Hartenstein;Germany;7-0;250;4;55;Center-Forward
