id;PLAYER_ID; PLAYER_NAME; NICKNAME; TEAM_ID; TEAM_ABBREVIATION; AGE; GP; W; L; W_PCT;MIN; FGM; FGA; FG_PCT; FG3M; FG3A; FG3_PCT; FTM; FTA; FT_PCT; OREB; DREB; REB; AST; TOV; STL; BLK; BLKA; PF;PTS
44;1627742; 'Brandon Ingram'; 'Brandon';1610612740; 'NOP'; 25.0;45;23;22; 0.511;1538;404;835; 0.484;64;164; 0.39;240;272; 0.882;23;223;246;262;148;32;19;37;116;1112
45;1630296; 'Braxton Key'; 'Braxton';1610612765; 'DET'; 26.0;3;0;3; 0.0;9;1;1; 1.0;0;0; 0.0;2;2; 1.0;0;1;1;0;0;0;0;0;0;4
46;201572; 'Brook Lopez'; 'Brook';1610612749; 'MIL'; 35.0;78;57;21; 0.731;2372;477;899; 0.531;136;364; 0.374;149;190; 0.784;157;363;520;99;107;37;193;26;203;1239
47;1628971; 'Bruce Brown'; 'Bruce';1610612743; 'DEN'; 26.0;80;53;27; 0.663;2279;358;741; 0.483;91;254; 0.358;116;153; 0.758;63;265;328;268;123;87;51;38;190;923
48;1628981; 'Bruno Fernando'; 'Bruno';1610612737; 'ATL'; 24.0;39;13;26; 0.333;405;59;112; 0.527;0;4; 0.0;35;50; 0.7;54;83;137;31;25;6;34;14;74;153
49;1631121; 'Bryce McGowens'; 'Bryce';1610612766; 'CHA'; 20.0;46;16;30; 0.348;786;80;202; 0.396;26;80; 0.325;60;80; 0.75;20;73;93;54;43;15;6;19;48;246
50;1627854; 'Bryn Forbes'; 'Bryn';1610612750; 'MIN'; 29.0;25;9;16; 0.36;267;30;83; 0.361;14;46; 0.304;15;15; 1.0;4;11;15;17;12;7;2;5;22;89
51;1631205; 'Buddy Boeheim'; 'Buddy';1610612765; 'DET'; 23.0;10;2;8; 0.2;90;5;27; 0.185;4;25; 0.16;2;2; 1.0;2;4;6;4;0;2;0;0;6;16
52;1627741; 'Buddy Hield'; 'Buddy';1610612754; 'IND'; 30.0;80;35;45; 0.438;2481;475;1038; 0.458;288;677; 0.425;106;129; 0.822;67;333;400;225;139;92;26;40;156;1344
53;203468; 'CJ McCollum'; 'CJ';1610612740; 'NOP'; 31.0;75;38;37; 0.507;2649;587;1344; 0.437;211;543; 0.389;183;238; 0.769;55;273;328;429;183;70;38;60;153;1568
54;1630595; 'Cade Cunningham'; 'Cade';1610612765; 'DET'; 21.0;12;3;9; 0.25;400;93;224; 0.415;17;61; 0.279;36;43; 0.837;12;62;74;72;39;10;7;23;34;239
55;1631216; 'Caleb Houstan'; 'Caleb';1610612753; 'ORL'; 20.0;51;20;31; 0.392;812;66;182; 0.363;46;136; 0.338;15;18; 0.833;34;65;99;30;18;12;7;7;63;193
56;1628997; 'Caleb Martin'; 'Caleb';1610612748; 'MIA'; 27.0;71;38;33; 0.535;2077;254;548; 0.464;84;236; 0.356;91;113; 0.805;88;256;344;117;79;71;31;26;145;683
57;1629629; 'Cam Reddish'; 'Cam';1610612757; 'POR'; 23.0;40;14;26; 0.35;989;139;312; 0.446;45;144; 0.313;64;75; 0.853;18;70;88;57;47;39;14;20;72;387
58;1630560; 'Cam Thomas'; 'Cam';1610612751; 'BKN'; 21.0;57;30;27; 0.526;947;201;456; 0.441;51;133; 0.383;151;174; 0.868;8;87;95;78;63;20;7;14;55;604
