game_id;team_id;period1Score;period2Score;period3Score;period4Score
'0022200193';1610612750;40;27;37;25
'0022200018';1610612754;26;29;30;49
'0022200018';1610612759;36;34;32;35
'0022200147';1610612754;32;26;42;29
'0022200147';1610612740;30;25;36;31
'0022200410';1610612749;38;26;31;33
'0022200410';1610612744;27;25;25;34
'0022200852';1610612739;26;14;29;28
'0022200852';1610612741;29;20;25;15
'0022200519';1610612741;28;29;22;27
'0022200519';1610612749;32;23;27;24
'0022200285';1610612746;26;26;25;27
'0022200285';1610612743;31;33;23;27
'0022200036';1610612758;26;29;25;29
'0022200036';1610612746;29;23;34;25
'0022200570';1610612741;40;29;19;33
'0022200570';1610612751;33;26;26;27
'0022200082';1610612766;34;28;18;27
'0022200082';1610612744;23;27;33;24
'0022200221';1610612757;28;33;21;25
'0022200221';1610612751;28;29;28;24
'0022200710';1610612762;21;37;31;31
'0022200710';1610612766;24;21;34;23
'0022201217';1610612751;21;32;39;13
'0022201217';1610612755;36;25;39;34
'0022200631';1610612757;32;26;33;22
'0022200631';1610612739;27;24;36;32
'0022200402';1610612754;19;23;22;18
'0022200402';1610612748;26;21;20;20
'0022200485';1610612752;22;38;32;25
'0022200485';1610612741;29;29;31;29
'0022200346';1610612751;27;23;19;23
'0022200346';1610612738;35;27;13;28
'0022200112';1610612745;24;29;26;22
'0022200112';1610612746;34;22;30;23
'0022200659';1610612752;25;34;28;23
'0022200659';1610612761;29;27;25;29
'0022200019';1610612764;26;30;21;25
'0022200019';1610612741;30;20;24;26
'0022201078';1610612737;38;28;33;30
'0022201078';1610612765;32;27;19;29
'0022200256';1610612755;33;30;22;30
'0022200256';1610612751;26;31;25;24
'0022201104';1610612757;26;19;27;24
'0022201104';1610612741;26;35;33;30
'0022200177';1610612753;30;28;29;27
'0022200177';1610612756;23;29;22;23
'0022200583';1610612749;28;32;27;22
'0022200583';1610612766;51;33;28;26
'0022201143';1610612759;33;29;26;29
'0022201143';1610612762;36;28;29;35
'0022200249';1610612754;27;27;32;37
'0022200249';1610612753;28;17;22;35
'0022200335';1610612762;35;40;26;38
'0022200335';1610612754;24;35;22;38
'0022200597';1610612761;34;24;31;28
'0022200597';1610612757;27;26;21;31
'0022200347';1610612765;26;31;26;29
'0022200347';1610612763;40;29;32;21
'0022200977';1610612765;18;33;23;30
'0022200977';1610612757;31;28;30;21
'0022200122';1610612755;22;31;30;21
'0022200122';1610612752;21;37;16;32
'0022200206';1610612740;32;27;30;24
'0022200206';1610612763;35;25;27;15
'0022201131';1610612737;24;35;35;26
'0022201131';1610612739;24;27;33;34
'0022201139';1610612755;28;29;32;27
'0022201139';1610612742;37;25;29;17
'0022200795';1610612752;28;28;25;34
'0022200795';1610612746;36;27;33;19
'0022201195';1610612742;28;32;32;31
'0022201195';1610612758;27;44;21;27
'0022200701';1610612742;20;34;25;19
'0022200701';1610612746;22;27;30;33
'0022200004';1610612754;25;27;25;30
'0022200004';1610612764;36;24;27;27
'0022200578';1610612745;23;33;30;28
'0022200578';1610612762;31;33;31;36
'0022200704';1610612744;33;39;18;26
'0022200704';1610612751;28;32;26;34
'0022200030';1610612753;33;35;26;26
'0022200030';1610612738;36;32;31;27
'0022201166';1610612750;29;33;24;19
'0022201166';1610612757;31;25;26;25
'0022201202';1610612766;26;23;24;36
'0022201202';1610612745;25;30;30;27
'0022201101';1610612742;26;29;32;22
'0022201101';1610612766;37;32;26;22
'0022200722';1610612745;30;28;23;22
'0022200722';1610612764;25;18;28;37
'0022200227';1610612741;24;28;27;28
'0022200227';1610612753;37;29;21;21
'0022200224';1610612764;33;24;24;23
'0022200224';1610612748;31;38;19;16
'0022201178';1610612753;29;30;32;22
'0022201178';1610612739;23;35;35;24
'0022201192';1610612738;31;25;23;18
'0022201192';1610612761;28;16;28;21
'0022200378';1610612754;31;38;26;26
'0022200378';1610612764;33;32;24;22
'0022200979';1610612752;21;45;23;16
'0022200979';1610612766;21;29;37;25
'0022200960';1610612749;29;30;40;31
'0022200960';1610612755;29;24;32;48
'0022200760';1610612759;36;19;32;19
'0022200760';1610612764;30;33;35;29
'0022200074';1610612764;28;32;30;27
'0022200074';1610612754;36;39;26;26
'0022200668';1610612746;27;25;37;21
'0022200668';1610612755;34;29;27;30
'0022200702';1610612743;18;29;27;25
'0022200702';1610612760;27;25;29;20
'0022201064';1610612760;25;32;33;34
'0022201064';1610612756;31;38;27;24
'0022200306';1610612762;27;33;20;27
'0022200306';1610612741;27;26;33;28
'0022200876';1610612737;21;23;32;25
'0022200876';1610612752;37;29;25;31
'0022200892';1610612762;28;18;32;28
'0022200892';1610612760;26;29;31;20
'0022200477';1610612740;37;28;29;32
'0022200477';1610612759;17;29;29;42
'0022200182';1610612744;25;23;26;32
'0022200182';1610612739;25;27;25;24
'0022201114';1610612747;26;29;23;30
