game_id;team_id;period1Score;period2Score;period3Score;period4Score
22200034;1610612742;39;25;35;38
22200034;1610612763;17;19;35;25
22200515;1610612765;27;39;26;29
22200515;1610612753;23;24;30;24
22200574;1610612747;32;20;27;33
22200574;1610612748;23;25;30;31
22200577;1610612742;20;26;19;30
22200577;1610612738;29;35;25;35
22201187;1610612744;36;33;33;34
22201187;1610612760;39;40;27;19
22200555;1610612751;37;37;34;31
22200555;1610612759;25;22;32;24
22200803;1610612754;25;21;38;19
22200803;1610612739;27;35;36;24
22200472;1610612745;31;33;23;23
22200472;1610612753;25;29;31;31
22200278;1610612745;38;31;25;34
22200278;1610612737;33;39;32;18
22200288;1610612759;34;34;29;41
22200288;1610612747;33;37;36;37
22200970;1610612746;30;37;30;38
22200970;1610612763;28;33;51;17
22200300;1610612764;38;39;32;33
22200300;1610612750;33;25;39;30
22200616;1610612757;20;30;23;33
22200616;1610612753;33;17;32;27
22200745;1610612737;28;25;28;32
22200745;1610612746;22;36;26;36
22200810;1610612751;27;26;35;28
22200810;1610612746;29;26;36;33
22200901;1610612744;26;40;20;30
22200901;1610612745;26;23;28;24
22200693;1610612764;37;33;30;38
22200693;1610612753;26;31;34;27
22200025;1610612750;41;23;23;33
22200025;1610612762;26;29;33;32
22201070;1610612747;28;31;25;27
22201070;1610612753;25;24;32;24
22201080;1610612740;27;37;27;28
22201080;1610612759;16;23;26;19
22200358;1610612742;33;34;29;34
22200358;1610612756;15;26;34;36
22200712;1610612758;47;19;34;33
22200712;1610612763;33;28;29;10
22201140;1610612741;20;31;25;34
22201140;1610612747;31;28;26;36
22200272;1610612766;29;23;39;19
22200272;1610612750;34;28;21;25
22200404;1610612763;35;27;40;26
22200404;1610612737;29;22;25;27
22201161;1610612748;44;32;26;27
22201161;1610612742;31;33;32;26
22200750;1610612762;34;32;18;24
22200750;1610612742;23;25;28;24
22200281;1610612760;32;27;28;23
22200281;1610612741;30;29;21;30
22200403;1610612764;25;30;28;17
22200403;1610612751;29;33;32;18
22201086;1610612742;33;30;30;32
22201086;1610612744;30;35;31;31
22201107;1610612737;39;33;33;38
22201107;1610612754;35;39;24;32
22200651;1610612751;24;26;30;22
22200651;1610612760;28;20;27;37
22200492;1610612747;31;36;20;43
22200492;1610612766;27;40;30;37
22200239;1610612746;40;24;27;28
22200239;1610612759;22;26;21;28
22200512;1610612742;28;27;27;33
22200512;1610612752;30;33;29;23
22200611;1610612748;31;32;26;23
22200611;1610612760;26;30;32;23
22200984;1610612747;23;33;26;30
22200984;1610612763;21;36;23;23
22200317;1610612750;27;17;31;34
22200317;1610612763;26;22;24;29
22201126;1610612743;25;36;30;25
22201126;1610612755;18;39;20;34
22200318;1610612740;40;34;28;24
22200318;1610612761;29;18;31;30
22200198;1610612747;26;29;25;36
22200198;1610612751;22;24;31;26
22200556;1610612745;26;29;32;19
22200556;1610612742;18;26;39;28
22200565;1610612739;15;18;0;26
22200565;1610612756;14;29;0;21
22200552;1610612739;27;20;44;39
22200552;1610612741;34;31;31;34
22201100;1610612763;42;41;36;32
22201100;1610612745;30;22;32;30
22201137;1610612751;30;24;32;37
22201137;1610612745;25;30;32;27
22200113;1610612749;31;25;29;31
22200113;1610612765;26;21;21;23
22200405;1610612742;23;43;31;24
22200405;1610612760;28;24;38;24
